complex.id,burial,n_pep_contacted,chain_balance,n_hbond,D2_pep24,fp_b0_frac_r7,H_cell,L_canon,ab_imb,neg_energy,log_z,log_lik,mu_star,n_contacts
3e3q,1646.841781,5.000000,0.277778,1.000000,7.396088,0.086957,0.858082,2.864551,-0.018182,19.807956,43.308055,-23.513352,-0.395661,18.000000
3ffc,2127.234112,6.000000,0.111111,4.000000,6.080820,0.076923,0.786844,-0.279811,-0.211268,0.192101,31.313509,-31.107414,0.079828,18.000000
3gsn,1877.022141,8.000000,0.500000,3.000000,10.084011,0.074074,0.886284,0.833274,-0.049180,25.369284,53.418341,-28.043469,0.188090,26.000000
3h9s,1843.723785,8.000000,0.500000,6.000000,8.309904,0.083333,0.796425,0.525266,0.294118,19.412774,48.247492,-28.834867,-0.165000,22.000000
3hg1,1919.165752,9.000000,0.357143,6.000000,8.892308,0.034483,0.811500,0.880359,0.000000,37.299569,62.807920,-25.488319,0.138143,28.000000
3kpr,2258.310769,6.000000,0.409091,3.000000,8.672131,0.074074,0.860724,1.973403,0.159420,14.897431,54.587223,-39.707486,-0.448500,22.000000
3kps,2250.004562,7.000000,0.380952,2.000000,8.626866,0.071429,0.861111,1.832449,0.117647,7.691312,47.037882,-39.361196,-0.340608,21.000000
3kxf,1745.337773,7.000000,0.428571,10.000000,7.876923,0.105263,0.757984,-0.259511,0.093750,80.798541,119.712703,-38.982024,-0.688870,35.000000
3mbe,2635.454808,15.000000,0.500000,1.000000,9.470423,0.051282,0.900795,0.519067,0.073171,5.316903,55.771369,-50.479158,0.871357,38.000000
3mv7,1835.888564,10.000000,0.444444,10.000000,8.966265,0.040000,0.836860,-0.024071,0.278689,29.437755,75.517680,-46.057886,0.082207,36.000000
3mv8,1869.698648,10.000000,0.457143,8.000000,8.593533,0.038462,0.838280,-0.124343,0.278689,30.208511,76.696944,-46.491528,0.007095,35.000000
3mv9,1852.321972,10.000000,0.444444,8.000000,9.225225,0.038462,0.846572,0.097638,0.218750,30.097212,73.441739,-43.364644,0.123359,36.000000
3nfj,518.299868,5.000000,0.000000,3.000000,2.959732,0.222222,0.240761,0.869038,-1.000000,,,,,
3o4l,2144.737495,6.000000,0.391304,3.000000,8.966102,0.033333,0.860900,2.175485,0.072464,26.864126,52.810317,-25.941695,0.009424,23.000000
3o6f,1895.326970,9.000000,0.392857,3.000000,8.086495,0.035714,0.843787,1.372333,-0.260274,39.610816,75.149449,-35.492783,-0.458204,28.000000
3pl6,1575.810862,8.000000,0.307692,2.000000,5.966942,0.173913,0.761942,-0.088701,-0.052632,9.132564,31.257915,-22.121413,-0.799339,13.000000
3pqy,1668.331444,7.000000,0.384615,7.000000,9.469697,0.050000,0.860009,2.001480,0.000000,28.187186,58.230275,-30.024760,0.275552,26.000000
3pwp,1922.134130,8.000000,0.318182,4.000000,7.219570,0.035714,0.785722,-0.137086,0.309091,16.809696,47.953857,-31.127574,-0.174810,22.000000
3qdg,2161.957708,8.000000,0.458333,7.000000,9.752381,0.071429,0.877108,0.395313,0.093750,14.892818,40.815041,-25.914145,0.212203,24.000000
3qdj,2110.074821,7.000000,0.411765,3.000000,8.450704,0.080000,0.872405,0.339484,0.133333,2.554631,27.002197,-24.474742,0.086963,17.000000
3qdm,1648.191787,8.000000,0.307692,2.000000,7.943765,0.043478,0.781497,0.730888,-0.263158,30.865034,57.301210,-26.431936,-0.029615,26.000000
3qeq,1839.795210,6.000000,0.238095,2.000000,8.108108,0.043478,0.791420,2.564949,-0.266667,24.974120,43.038391,-18.113779,0.055960,21.000000
3qfj,1931.024108,8.000000,0.375000,5.000000,7.034026,0.034483,0.778758,-0.049656,0.213115,19.149148,48.875669,-29.713487,0.137630,24.000000
3qib,2553.936649,9.000000,0.468750,9.000000,7.728736,0.030303,0.835223,1.168954,0.048780,43.220434,74.148477,-30.964108,0.250842,32.000000
3qiu,2423.203078,9.000000,0.454545,10.000000,7.322654,0.031250,0.825215,1.400711,-0.025000,38.813517,68.409334,-29.569780,0.333666,33.000000
3qiw,2441.718205,9.000000,0.483871,7.000000,7.977901,0.031250,0.841181,1.323391,0.052632,40.882515,67.108506,-26.221982,0.233137,31.000000
3rdt,1529.324175,6.000000,0.466667,3.000000,5.659933,0.157895,0.731958,0.184062,-0.317073,-7.139316,18.163534,-25.325040,0.343915,15.000000
3rgv,1568.730931,5.000000,0.333333,0.000000,8.134454,0.157895,0.838108,2.060790,-0.136364,3.128411,19.047475,-15.919512,-0.010884,12.000000
3sjv,1964.583216,6.000000,0.470588,3.000000,9.473684,0.035714,0.900192,1.179609,0.133333,15.868625,38.892029,-23.011322,-0.246692,17.000000
3t0e,2229.089886,14.000000,0.312500,4.000000,8.422402,0.057143,0.850233,1.182103,-0.291139,48.231254,84.211338,-36.042471,-0.465460,32.000000
3tf7,1343.369950,4.000000,0.000000,2.000000,2.299363,0.200000,0.483543,0.839101,1.000000,,,,,
3tfk,1618.143194,6.000000,0.444444,5.000000,7.824513,0.086957,0.868147,1.785245,-0.056604,3.426170,27.600805,-24.182186,0.597110,18.000000
3tjh,1611.231050,6.000000,0.370370,3.000000,8.326733,0.150000,0.849227,0.854531,-0.172414,8.603203,46.588172,-38.002094,0.445473,27.000000
3tpu,2197.488367,7.000000,0.346154,4.000000,10.169014,0.066667,0.907507,1.534073,-0.052632,21.055691,51.891184,-30.820048,0.143404,26.000000
3uts,1311.383548,7.000000,0.411765,4.000000,6.810945,0.150000,0.768066,0.888820,0.135135,19.089428,39.160691,-20.074538,0.121027,17.000000
3utt,1341.849206,7.000000,0.350000,5.000000,7.272727,0.105263,0.759736,0.496937,0.050000,15.760826,45.062593,-29.252549,0.274613,20.000000
3vxm,1852.855653,8.000000,0.333333,1.000000,7.822472,0.076923,0.771030,0.336472,0.559322,19.148330,45.460762,-26.322782,0.327530,27.000000
3vxr,1823.987294,9.000000,0.482759,3.000000,9.137056,0.038462,0.849896,1.452252,-0.100000,24.261655,55.543844,-31.261646,0.317366,28.000000
3vxs,1919.793819,8.000000,0.500000,3.000000,9.061947,0.074074,0.870787,1.887829,-0.062500,23.651347,53.289025,-29.662025,0.169476,26.000000
3vxu,2279.419872,7.000000,0.230769,3.000000,8.620047,0.093750,0.877543,1.943008,-0.139535,15.290908,55.789153,-40.497404,-0.183869,26.000000
3w0w,2083.933063,7.000000,0.230769,4.000000,10.000000,0.071429,0.885580,1.625002,-0.228571,19.586645,52.902255,-33.311966,0.010415,26.000000
4e41,2059.769465,8.000000,0.400000,3.000000,8.201550,0.080000,0.811028,0.887672,0.304348,10.721824,37.474351,-26.772721,-0.023286,20.000000
4eup,1819.896991,7.000000,0.250000,5.000000,7.752784,0.083333,0.807937,0.551032,-0.220339,36.756788,50.088646,-13.332523,-0.124230,20.000000
4euq,1738.184920,9.000000,0.384615,5.000000,8.114219,0.076923,0.805817,0.155719,-0.118644,32.664592,56.847625,-24.190244,0.295794,26.000000
4ftv,2060.762761,8.000000,0.464286,8.000000,7.521327,0.066667,0.781321,0.641129,0.217391,32.018930,63.806865,-31.775535,0.168465,28.000000
4g8g,1771.050578,7.000000,0.481481,2.000000,9.000000,0.272727,0.868154,0.902868,0.087719,13.323977,50.587684,-37.259969,-0.063871,27.000000
4g9f,1742.146707,6.000000,0.454545,1.000000,8.944785,0.300000,0.873558,0.916757,0.148148,18.385262,52.747843,-34.418863,-0.595316,22.000000
4gg6,1675.366412,6.000000,0.437500,4.000000,8.194539,0.166667,0.868914,1.080492,0.061224,0.367203,25.042120,-24.693239,0.141633,16.000000
4grl,1734.471256,7.000000,0.307692,2.000000,5.442177,0.173913,0.763042,0.100363,-0.100000,-0.683104,29.396407,-30.095862,-0.711567,13.000000
4h1l,2143.471232,8.000000,0.384615,2.000000,7.275527,0.074074,0.806654,1.680610,-0.194030,34.268795,67.401913,-33.100654,-0.039388,25.000000
4jfd,2293.222522,9.000000,0.333333,6.000000,9.172117,0.062500,0.817269,1.201708,-0.068493,39.513217,61.296086,-21.791616,0.414429,30.000000
4jfe,2405.057025,9.000000,0.333333,6.000000,9.031250,0.088235,0.812308,0.973449,-0.088235,38.108401,59.566107,-21.470033,0.233986,27.000000
4jff,2330.400180,9.000000,0.357143,7.000000,8.876712,0.058824,0.811180,0.808070,-0.083333,38.897486,60.614034,-21.739333,0.253753,28.000000
4jrx,1738.411353,7.000000,0.444444,10.000000,8.640082,0.190476,0.801800,0.426565,0.261538,84.328200,122.276236,-37.929551,-0.599603,36.000000
4jry,1913.879645,7.000000,0.000000,7.000000,6.140351,0.111111,0.691086,3.233999,-0.085714,23.417811,39.734468,-16.304685,0.298724,19.000000
4l3e,2209.121534,9.000000,0.458333,3.000000,8.844765,0.064516,0.877349,0.432133,0.114286,13.754135,43.185845,-29.427311,0.048249,24.000000
4may,1640.724925,7.000000,0.416667,1.000000,5.571429,0.136364,0.760421,0.381614,-0.128205,1.929268,30.853104,-28.953128,-0.894493,12.000000
4mji,2172.930839,8.000000,0.500000,3.000000,8.288828,0.028571,0.866341,1.641569,0.153846,14.556799,37.635006,-23.094721,0.218691,20.000000
4mnq,2495.124778,8.000000,0.370370,4.000000,8.334247,0.031250,0.858658,0.812618,0.205128,27.899549,60.991924,-33.112243,-0.236040,27.000000
4ms8,1513.975760,4.000000,0.090909,0.000000,7.155477,0.130435,0.807320,1.874690,-0.111111,3.957284,21.078313,-17.121268,-0.244745,11.000000
4mvb,1592.440744,4.000000,0.125000,2.000000,7.557143,0.100000,0.819603,2.064470,-0.173913,9.028807,30.897248,-21.881146,-0.112480,16.000000
4mxq,1565.958802,5.000000,0.166667,3.000000,7.170370,0.150000,0.851035,0.595554,-0.318182,3.614519,26.292029,-22.674224,-0.528319,12.000000
4n0c,1529.935064,7.000000,0.250000,1.000000,6.939759,0.083333,0.856293,1.460164,-0.083333,-2.555849,29.728194,-32.234818,-0.089882,16.000000
4n5e,1743.579173,8.000000,0.500000,4.000000,8.393013,0.071429,0.873114,2.099496,-0.032258,2.161585,33.969812,-31.814714,0.409353,22.000000
4nhu,1449.697531,7.000000,0.000000,3.000000,7.448276,0.111111,0.740710,1.595427,0.722222,49.891966,74.551712,-24.683455,-0.875546,21.000000
4ozf,1687.263083,5.000000,0.076923,2.000000,4.780083,0.125000,0.717078,0.819027,-0.625000,7.717743,24.281768,-16.537448,-0.124654,13.000000
4ozg,2061.937415,5.000000,0.230769,2.000000,6.400000,0.111111,0.795927,1.297798,-0.178571,6.442548,22.334139,-15.879847,-0.012576,13.000000
4ozh,2039.913883,6.000000,0.266667,4.000000,6.893069,0.115385,0.816633,0.938270,-0.118644,7.639784,26.769982,-19.134222,0.017584,15.000000
4ozi,2044.710392,8.000000,0.500000,0.000000,8.627219,0.037037,0.876982,0.941856,0.185185,3.417060,25.046505,-21.621081,-0.324429,14.000000
4p23,1576.491431,6.000000,0.444444,4.000000,5.975309,0.157895,0.733199,0.415864,-0.272727,-8.355193,20.234090,-28.608837,0.644965,18.000000
4p2o,2224.160049,9.000000,0.480000,5.000000,7.270123,0.034483,0.830575,0.684636,0.095890,18.428277,49.354795,-30.901561,0.167478,25.000000
4p2q,2078.849036,8.000000,0.440000,7.000000,7.171642,0.037037,0.768832,1.712636,0.290323,25.805190,52.463318,-26.636622,0.103536,25.000000
4p2r,1957.463450,9.000000,0.461538,4.000000,7.339250,0.037037,0.778321,1.455762,0.245902,23.858392,49.421946,-25.604528,0.337134,26.000000
4p46,1535.895884,6.000000,0.428571,2.000000,5.179272,0.157895,0.717198,0.090972,-0.348837,-1.074361,19.513756,-20.572041,0.116400,14.000000
4p4k,1897.448776,8.000000,0.368421,4.000000,6.736211,0.080000,0.790260,0.977251,0.132075,12.903382,39.957493,-27.070489,-0.023259,19.000000
4p5t,1958.410753,7.000000,0.380952,3.000000,8.152225,0.083333,0.848153,0.152469,0.050847,6.774554,31.696594,-24.932204,0.271674,21.000000
4prh,1982.962941,10.000000,0.444444,8.000000,9.047109,0.038462,0.844161,0.427546,0.292308,27.613645,74.915251,-47.282510,0.130440,36.000000
4pri,2070.286462,9.000000,0.444444,10.000000,9.326711,0.038462,0.851377,-0.076961,0.230769,30.102836,76.751571,-46.619454,0.068965,36.000000
4prp,1886.836828,10.000000,0.432432,9.000000,9.164859,0.040000,0.843709,0.020677,0.292308,25.892381,73.126931,-47.251022,0.248699,37.000000
4qok,2002.129509,9.000000,0.384615,6.000000,8.677291,0.034483,0.813627,0.680066,0.000000,40.817549,65.025039,-24.229380,-0.089672,26.000000
4qrp,2163.841206,7.000000,0.421053,0.000000,7.361502,0.037037,0.760520,2.670530,0.071429,25.236824,44.031991,-18.780422,0.173435,19.000000
4y19,1434.896859,8.000000,0.071429,1.000000,4.584906,0.272727,0.556630,-0.747214,-0.925926,3.880920,27.236058,-23.361960,-0.242964,14.000000
4y1a,1281.480273,6.000000,0.000000,0.000000,3.976471,0.210526,0.563317,-1.471288,-0.846154,6.397775,25.817006,-19.429069,-0.897776,10.000000
4z7u,1847.189715,8.000000,0.476190,5.000000,8.593533,0.103448,0.887216,0.372075,0.081967,0.365806,27.865963,-27.478940,0.307803,21.000000
4z7v,1839.650345,8.000000,0.363636,6.000000,7.860262,0.076923,0.871342,0.623283,-0.100000,1.765710,27.042125,-25.242614,0.402707,22.000000
4z7w,2309.993399,12.000000,0.370370,4.000000,9.025000,0.062500,0.873372,1.148623,0.000000,-3.211803,32.502080,-35.696046,0.731234,27.000000
4zez,2154.083331,9.000000,0.318182,4.000000,8.518027,0.033333,0.862786,1.052904,0.134328,29.360716,58.557945,-29.129880,-0.636523,22.000000
5brz,1799.207479,7.000000,0.466667,2.000000,5.792873,0.041667,0.776842,0.582605,0.490196,-6.751440,13.303783,-20.058070,1.054208,15.000000
5bs0,1918.367624,6.000000,0.470588,3.000000,5.824242,0.043478,0.795359,0.393827,0.451613,-10.083535,15.149635,-25.205819,0.935288,17.000000
5c07,1645.837640,9.000000,0.409091,5.000000,7.488136,0.125000,0.772529,1.209703,-0.063830,12.868674,42.283915,-29.383862,0.425294,22.000000
5c08,1528.913983,8.000000,0.333333,4.000000,7.736842,0.045455,0.802205,0.947885,0.142857,11.571550,41.526172,-29.975714,0.513087,21.000000
5c09,1491.111538,8.000000,0.350000,5.000000,7.277056,0.142857,0.762861,1.199200,0.073171,20.750583,43.072268,-22.297787,0.311673,20.000000
5c0a,1324.211211,7.000000,0.444444,6.000000,7.608696,0.125000,0.813246,0.327397,-0.142857,10.500823,37.303315,-26.778906,0.239169,18.000000
5c0b,1643.189202,9.000000,0.450000,4.000000,7.805654,0.120000,0.823244,1.107551,-0.063830,11.947871,41.673282,-29.699397,0.223556,19.000000
5c0c,1615.131324,9.000000,0.476190,4.000000,7.836735,0.125000,0.820389,0.897942,-0.125000,16.542006,45.718696,-29.202774,0.146082,20.000000
5d2l,1824.341125,8.000000,0.375000,3.000000,8.994652,0.103448,0.842809,0.259974,0.206897,27.416309,48.901955,-21.501988,0.312151,24.000000
5d2n,1849.194793,5.000000,0.380952,3.000000,7.237006,0.130435,0.779973,2.578648,-0.152542,24.781531,48.413781,-23.666622,0.150154,21.000000
5e6i,2071.082076,8.000000,0.375000,3.000000,8.507812,0.071429,0.856159,0.753310,-0.030303,19.162073,47.757284,-28.596790,0.265492,24.000000
5e9d,1365.057910,7.000000,0.411765,2.000000,5.659933,0.190476,0.715330,0.574088,0.121951,22.495845,43.066847,-20.580683,-0.051264,17.000000
5eu6,1730.004665,7.000000,0.384615,4.000000,8.144796,0.080000,0.791631,1.053150,-0.166667,25.703248,58.590943,-32.895014,0.147834,26.000000
5euo,1720.578630,7.000000,0.400000,6.000000,7.438017,0.076923,0.824798,0.606602,-0.200000,38.312819,59.497190,-21.186197,-0.612530,20.000000
5hhm,1419.559466,5.000000,0.350000,5.000000,6.906077,0.100000,0.821114,0.918940,-0.400000,27.808234,54.307781,-26.509396,-0.428511,20.000000
5hho,1487.341552,5.000000,0.315789,4.000000,6.830601,0.105263,0.812247,0.918940,-0.480000,36.644769,57.824327,-21.192164,-0.740595,19.000000
5hyj,1581.459784,7.000000,0.421053,7.000000,7.296552,0.041667,0.789517,1.210445,-0.043478,16.353080,42.738530,-26.389006,0.144793,19.000000
5isz,1901.338897,7.000000,0.454545,5.000000,7.929385,0.080000,0.856910,1.130066,-0.220339,34.037439,52.608025,-18.637963,-0.176702,22.000000
5ivx,1941.856596,8.000000,0.363636,2.000000,8.880668,0.111111,0.846673,1.567369,-0.147541,31.887572,58.379089,-26.442699,-0.561667,22.000000
5jhd,2080.682922,7.000000,0.476190,4.000000,7.469218,0.071429,0.848086,0.760674,0.074627,29.393347,58.496816,-29.124173,-0.735738,21.000000
5jzi,2171.550875,9.000000,0.280000,4.000000,8.703839,0.032258,0.870856,1.187313,0.188406,27.760813,58.224563,-30.452445,-0.187550,25.000000
5ks9,2223.994851,9.000000,0.454545,6.000000,7.827476,0.068966,0.869213,0.021919,0.228571,20.263578,46.053966,-25.777133,-0.319551,22.000000
5ksa,1794.327819,6.000000,0.444444,8.000000,9.149837,0.083333,0.884859,0.709496,0.245283,-10.152717,19.647413,-29.789011,0.423388,18.000000
5ksb,1999.786509,7.000000,0.416667,9.000000,9.191257,0.080000,0.883522,0.489548,-0.137931,3.954986,30.651736,-26.684000,0.613512,24.000000
5m00,1565.856801,7.000000,0.384615,2.000000,8.491228,0.173913,0.812749,3.610918,0.045455,15.347068,33.980596,-18.666013,-0.603800,13.000000
5m01,1651.819648,7.000000,0.357143,3.000000,8.194539,0.120000,0.807161,3.761200,0.020408,15.577891,34.565285,-18.988144,-0.425315,14.000000
5m02,1635.156213,7.000000,0.318182,5.000000,9.009685,0.208333,0.822991,2.812870,-0.180328,23.780871,51.321866,-27.541730,0.184315,22.000000
5men,2225.723305,8.000000,0.360000,6.000000,7.767334,0.033333,0.827542,0.559096,0.295775,33.795656,65.701575,-31.904641,-0.473482,25.000000
5nht,1762.147104,9.000000,0.464286,3.000000,11.288591,0.080000,0.908672,0.277632,0.034483,20.254392,45.685318,-25.449579,0.467530,28.000000
5nme,2078.082047,9.000000,0.458333,8.000000,8.376812,0.032258,0.799367,2.018976,0.147059,28.147740,48.455534,-20.332996,0.307418,24.000000
5nmf,2026.565960,8.000000,0.440000,8.000000,8.422139,0.034483,0.812926,1.579850,0.194030,22.394256,46.530847,-24.127943,0.493917,25.000000
5nmg,2024.209640,8.000000,0.391304,8.000000,7.926829,0.034483,0.790269,1.775285,0.169231,26.746290,45.731278,-18.986524,0.245831,23.000000
5nqk,1737.615035,9.000000,0.480000,2.000000,10.813793,0.080000,0.903394,0.014441,0.035714,27.344580,49.066712,-21.741727,0.099377,25.000000
5sws,1849.269638,6.000000,0.000000,2.000000,3.540984,0.160000,0.521504,-3.993248,-0.111111,32.554390,45.716149,-13.186357,-1.790301,12.000000
5swz,1904.965552,6.000000,0.000000,2.000000,3.827751,0.111111,0.536108,-3.891820,-0.200000,36.825466,51.956468,-15.151695,-1.407252,13.000000
5tez,1697.889747,6.000000,0.411765,2.000000,8.086538,0.080000,0.877270,1.241713,0.034483,8.742671,37.376892,-28.676844,-0.458199,17.000000
5til,1641.227592,7.000000,0.363636,3.000000,9.136483,0.200000,0.824210,2.820812,-0.118644,19.157422,49.645348,-30.479518,0.184815,22.000000
